t,type,info,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
28.193,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,245,118,0,102,0,26,0,218,1,195,12,147,11,0,0
28.208,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,245,149,0,130,0,42,0,231,1,177,12,134,11,0,0
28.24,hid,"17,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,243,159,0,141,0,86,0,251,1,235,12,123,11,0,0
28.271,hid,"16,18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,163,243,88,0,85,0,65,0,145,1,30,13,70,11,0,0
28.286,hid,"18,20,22,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,163,243,56,0,69,0,53,0,145,1,29,13,102,11,0,0
28.318,hid,"16,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,164,243,8,0,42,0,32,0,146,1,46,13,80,11,0,0
28.333,hid,"18,19,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,164,243,249,255,30,0,20,0,156,1,252,12,70,11,0,0
28.349,hid,"18,19,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,164,243,0,0,36,0,13,0,184,1,247,12,113,11,0,0
28.38,hid,"18,19,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,164,243,250,255,22,0,3,0,168,1,239,12,117,11,0,0
28.412,hid,"18,20,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,164,243,252,255,14,0,3,0,199,1,252,12,81,11,0,0
28.428,hid,"16,18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,166,243,250,255,15,0,6,0,205,1,10,13,102,11,0,0
28.459,hid,"16,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,243,253,255,13,0,2,0,180,1,21,13,90,11,0,0
28.475,hid,"16,18,20,22,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,243,255,16,0,6,0,180,1,17,13,76,11,0,0
28.49,hid,"18,20,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,244,255,14,0,6,0,184,1,238,12,120,11,0,0
28.506,hid,"16,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,254,255,8,0,5,0,171,1,242,12,154,11,0,0
28.536,hid,"18,19,20,21,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,0,0,252,255,1,0,159,1,246,12,111,11,0,0
28.552,hid,"18,19,20,21,22,23,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,253,255,0,0,255,255,183,1,13,13,100,11,0,0
28.568,hid,"16,18,19,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,175,243,4,0,9,0,3,0,176,1,1,13,101,11,0,0
28.599,hid,"18,19,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,175,243,247,255,16,0,2,0,181,1,2,13,122,11,0,0
28.615,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,175,243,244,255,19,0,255,255,177,1,9,13,125,11,0,0
28.63,hid,"18,20,22,23,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,175,243,242,255,18,0,2,0,167,1,252,12,91,11,0,0
28.646,hid,"18,20,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,175,243,243,255,21,0,2,0,177,1,247,12,95,11,0,0
28.677,hid,"18,20,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,175,243,246,255,8,0,2,0,187,1,244,12,116,11,0,0
28.692,hid,"16,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,249,255,12,0,3,0,176,1,254,12,104,11,0,0
28.708,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,250,255,8,0,4,0,165,1,243,12,95,11,0,0
28.739,hid,"18,19,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,13,0,13,0,254,255,171,1,241,12,133,11,0,0
28.754,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,5,0,4,0,255,255,167,1,255,12,86,11,0,0
28.77,hid,"18,19,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,253,255,8,0,0,0,177,1,244,12,104,11,0,0
28.785,hid,"18,19,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,13,0,26,0,1,0,175,1,3,13,116,11,0,0
28.816,hid,"18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,2,0,12,0,0,0,156,1,242,12,104,11,0,0
28.831,hid,"18,20,22,23,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,10,0,15,0,254,255,184,1,8,13,127,11,0,0
28.847,hid,"18,20,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,6,0,9,0,254,255,171,1,252,12,110,11,0,0
28.879,hid,"18,19,20,22,23,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,251,255,11,0,1,0,166,1,4,13,98,11,0,0
28.894,hid,"18,20,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,174,243,249,255,12,0,1,0,171,1,252,12,104,11,0,0
28.91,hid,"16,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,248,255,13,0,0,0,173,1,242,12,102,11,0,0
28.925,hid,"18,20,22,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,253,255,17,0,1,0,173,1,8,13,109,11,0,0
28.957,hid,"18,19,20,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,1,0,10,0,1,0,150,1,237,12,112,11,0,0
28.973,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,4,0,11,0,255,255,169,1,245,12,102,11,0,0
28.989,hid,"18,20,22,23,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,3,0,14,0,1,0,178,1,0,13,107,11,0,0
29.02,hid,"18,19,20,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,252,255,10,0,1,0,164,1,6,13,110,11,0,0
29.02,hid,"18,20,24,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,251,255,11,0,1,0,163,1,6,13,109,11,0,0
29.05,hid,"18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,246,255,12,0,5,0,173,1,241,12,100,11,0,0
29.066,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,255,255,9,0,0,0,174,1,223,12,124,11,0,0
29.096,hid,"18,19,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,3,0,1,0,1,0,161,1,250,12,131,11,0,0
29.113,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,9,0,2,0,0,0,169,1,243,12,113,11,0,0
29.129,hid,"18,20,22,23,24,26",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,172,243,13,0,5,0,254,255,162,1,246,12,113,11,0,0
29.159,hid,"16,18,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,243,10,0,5,0,1,0,174,1,250,12,98,11,0,0
29.16,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,243,9,0,8,0,2,0,175,1,252,12,88,11,0,0
29.192,hid,"17,18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,0,0,13,0,3,0,172,1,2,13,104,11,0,0
29.207,hid,"18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,4,0,8,0,1,0,150,1,245,12,110,11,0,0
29.238,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,3,0,6,0,255,255,178,1,254,12,102,11,0,0
