t,type,info,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
13.789,hid,"18,22,24,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,0,0,0,0,0,238,255,247,255,249,255,123,0,228,11,123,12,0,0
13.821,hid,"18,20,22,23,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,0,0,0,0,0,229,255,245,255,0,0,123,0,249,11,77,12,0,0
13.822,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,0,0,0,0,0,218,255,247,255,1,0,125,0,248,11,66,12,0,0
13.853,hid,"18,22,23,24,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,0,0,0,0,0,216,255,247,255,252,255,87,0,212,11,174,12,0,0
13.869,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,0,0,0,0,0,218,255,245,255,249,255,69,0,210,11,149,12,0,0
13.9,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,0,0,0,0,0,166,255,234,255,244,255,114,0,222,11,72,12,0,0
13.9,hid,"18,20,24,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,0,0,0,0,0,163,255,235,255,244,255,112,0,223,11,79,12,0,0
13.932,hid,"13,16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,4,0,16,0,0,48,0,0,40,69,196,255,234,255,249,255,86,0,208,11,230,12,0,0
13.932,log,sig#5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.948,hid,"8,9,10,11,16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,220,255,252,255,0,48,0,0,100,141,209,255,239,255,242,255,95,0,134,11,135,12,0,0
13.979,hid,"8,10,16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,247,255,191,255,225,255,246,255,66,0,191,11,176,12,0,0
13.996,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,208,255,241,255,230,255,195,0,122,11,178,12,0,0
14.012,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,195,255,224,255,239,255,229,0,201,11,171,12,0,0
14.027,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,194,255,235,255,252,255,146,0,190,11,166,12,0,0
14.059,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,221,255,231,255,242,255,152,0,193,11,201,12,0,0
14.059,log,sig#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.075,hid,"18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,4,0,235,255,233,255,137,0,171,11,211,12,0,0
14.091,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,18,0,242,255,243,255,128,0,156,11,177,12,0,0
14.106,hid,"20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,18,0,248,255,255,255,144,0,150,11,145,12,0,0
14.137,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,253,255,15,0,243,255,248,255,123,0,155,11,155,12,0,0
14.152,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,253,255,11,0,235,255,241,255,135,0,192,11,146,12,0,0
14.168,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,253,255,2,0,248,255,250,255,126,0,228,11,115,12,0,0
14.199,hid,"16,18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,184,255,212,255,0,48,0,0,255,255,242,255,251,255,249,255,130,0,215,11,158,12,0,0
14.215,hid,"8,10,11,18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,255,255,0,0,254,255,247,255,132,0,176,11,170,12,0,0
14.23,hid,"20,21,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,255,255,0,0,1,0,250,255,143,0,205,11,151,12,0,0
14.246,hid,"18,19,20,24,26",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,255,255,254,255,7,0,250,255,127,0,202,11,151,12,0,0
14.277,hid,"18,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,255,255,240,255,10,0,5,0,120,0,215,11,156,12,0,0
14.292,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,255,255,231,255,15,0,11,0,116,0,198,11,138,12,0,0
14.307,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,255,255,221,255,16,0,10,0,92,0,189,11,158,12,0,0
14.339,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,255,255,217,255,15,0,9,0,102,0,212,11,139,12,0,0
14.355,hid,"16,18,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,253,255,218,255,15,0,12,0,132,0,180,11,166,12,0,0
14.371,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,253,255,232,255,24,0,18,0,135,0,171,11,188,12,0,0
14.386,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,246,255,230,255,28,0,20,0,134,0,164,11,178,12,0,0
14.417,hid,"16,18,20,22,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,233,255,223,255,22,0,16,0,134,0,144,11,169,12,0,0
14.433,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,227,255,227,255,17,0,11,0,137,0,129,11,193,12,0,0
14.449,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,220,255,243,255,14,0,1,0,138,0,123,11,216,12,0,0
14.48,hid,"16,18,19,20,21,22,23,26",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,203,255,23,0,254,255,247,255,138,0,144,11,216,12,0,0
14.511,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,184,255,18,0,248,255,244,255,126,0,150,11,161,12,0,0
14.527,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,177,255,7,0,249,255,242,255,129,0,180,11,159,12,0,0
14.559,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,157,255,3,0,239,255,237,255,125,0,181,11,161,12,0,0
14.575,hid,"16,17,18,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,149,254,0,0,239,255,240,255,151,0,184,11,167,12,0,0
14.59,hid,"16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,141,249,2,0,242,255,249,255,138,0,178,11,177,12,0,0
14.606,hid,"16,17,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,132,243,2,0,243,255,0,0,125,0,180,11,165,12,0,0
14.638,hid,"16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,115,231,1,0,254,255,4,0,113,0,192,11,162,12,0,0
14.654,hid,"16,17,18,19,20,21,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,108,222,249,255,2,0,0,0,115,0,181,11,133,12,0,0
14.669,hid,"16,17,18,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,104,213,246,255,5,0,253,255,118,0,196,11,136,12,0,0
14.701,hid,"16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,93,193,241,255,6,0,255,255,117,0,135,11,189,12,0,0
14.733,hid,"16,17,18,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,89,185,243,255,9,0,5,0,133,0,192,11,155,12,0,0
14.748,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,89,183,244,255,10,0,12,0,146,0,153,11,166,12,0,0
14.779,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,89,183,237,255,12,0,17,0,128,0,186,11,167,12,0,0
14.795,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,89,183,234,255,13,0,8,0,129,0,163,11,169,12,0,0
14.811,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,92,183,240,255,9,0,3,0,137,0,146,11,206,12,0,0
14.825,hid,"18,19,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,92,183,0,0,3,0,255,255,146,0,117,11,229,12,0,0
14.856,hid,"17,18,20,21,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,92,186,42,0,255,255,245,255,157,0,119,11,212,12,0,0
14.871,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,92,186,32,0,251,255,252,255,144,0,184,11,157,12,0,0
14.887,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,92,188,27,0,248,255,250,255,116,0,160,11,163,12,0,0
14.918,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,92,190,22,0,241,255,244,255,121,0,176,11,174,12,0,0
14.934,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,92,193,10,0,235,255,240,255,137,0,159,11,135,12,0,0
14.95,hid,"16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,94,195,0,0,233,255,237,255,133,0,194,11,160,12,0,0
14.966,hid,"17,18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,94,197,7,0,237,255,237,255,132,0,181,11,179,12,0,0
14.996,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,94,203,24,0,240,255,249,255,137,0,207,11,158,12,0,0
15.012,hid,"16,17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,99,206,28,0,243,255,244,255,144,0,180,11,149,12,0,0
15.027,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,99,208,20,0,247,255,254,255,123,0,200,11,144,12,0,0
15.058,hid,"16,17,18,20,21,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,101,210,16,0,2,0,1,0,117,0,199,11,152,12,0,0
15.074,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,101,214,4,0,3,0,2,0,108,0,226,11,132,12,0,0
15.089,hid,"18,19,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,101,214,238,255,3,0,8,0,103,0,216,11,128,12,0,0
15.121,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,101,217,226,255,6,0,6,0,108,0,190,11,165,12,0,0
15.152,hid,"18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,101,217,228,255,7,0,6,0,149,0,166,11,173,12,0,0
15.168,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,101,217,233,255,8,0,8,0,166,0,160,11,172,12,0,0
15.199,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,101,217,243,255,12,0,11,0,153,0,161,11,189,12,0,0
15.214,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,217,247,255,11,0,10,0,137,0,156,11,190,12,0,0
15.231,hid,"18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,217,0,0,7,0,6,0,130,0,147,11,188,12,0,0
15.246,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,217,12,0,5,0,1,0,141,0,146,11,200,12,0,0
15.279,hid,"18,20,21,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,217,2,0,254,255,0,0,138,0,167,11,155,12,0,0
15.295,hid,"18,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,217,8,0,251,255,248,255,144,0,152,11,175,12,0,0
15.31,hid,"17,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,215,8,0,246,255,244,255,136,0,161,11,183,12,0,0
15.326,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,215,14,0,242,255,238,255,154,0,166,11,171,12,0,0
15.358,hid,"18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,215,9,0,239,255,238,255,125,0,174,11,156,12,0,0
15.373,hid,"17,18,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,213,12,0,239,255,238,255,130,0,179,11,159,12,0,0
15.389,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,213,14,0,238,255,240,255,145,0,192,11,173,12,0,0
15.421,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,213,6,0,249,255,246,255,131,0,199,11,136,12,0,0
15.452,hid,"18,20,21,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,213,1,0,1,0,253,255,95,0,179,11,164,12,0,0
15.468,hid,"20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,100,213,1,0,7,0,254,255,109,0,187,11,152,12,0,0
15.499,hid,"16,17,18,19,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,98,204,242,255,13,0,14,0,121,0,199,11,161,12,0,0
15.515,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,97,204,244,255,17,0,11,0,119,0,192,11,159,12,0,0
15.53,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,97,199,231,255,20,0,10,0,146,0,182,11,134,12,0,0
15.547,hid,"17,18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,97,195,227,255,18,0,10,0,149,0,169,11,152,12,0,0
15.579,hid,"17,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,97,193,231,255,12,0,5,0,157,0,161,11,174,12,0,0
15.595,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,93,193,239,255,8,0,2,0,158,0,144,11,183,12,0,0
15.61,hid,"16,18,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,91,193,252,255,8,0,1,0,143,0,131,11,180,12,0,0
15.626,hid,"16,18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,89,193,254,255,0,0,1,0,166,0,153,11,188,12,0,0
15.657,hid,"18,19,20,21,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,89,193,5,0,248,255,244,255,136,0,144,11,173,12,0,0
15.672,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,13,0,247,255,239,255,127,0,147,11,194,12,0,0
15.688,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,28,0,238,255,233,255,108,0,157,11,212,12,0,0
15.719,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,11,0,241,255,234,255,136,0,182,11,120,12,0,0
15.734,hid,"16,18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,84,193,252,255,246,255,246,255,127,0,201,11,147,12,0,0
15.751,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,84,193,255,255,249,255,248,255,125,0,190,11,169,12,0,0
15.767,hid,"18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,84,193,6,0,255,255,252,255,145,0,182,11,172,12,0,0
15.799,hid,"18,20,21,22,23,24,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,84,193,13,0,8,0,5,0,133,0,182,11,158,12,0,0
15.814,hid,"16,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,13,0,4,0,4,0,120,0,199,11,167,12,0,0
15.829,hid,"18,20,22,24,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,9,0,5,0,8,0,127,0,199,11,151,12,0,0
15.861,hid,"18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,239,255,11,0,5,0,131,0,182,11,159,12,0,0
15.891,hid,"18,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,234,255,11,0,8,0,115,0,181,11,147,12,0,0
15.906,hid,"16,18,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,231,255,11,0,4,0,127,0,171,11,170,12,0,0
15.939,hid,"18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,229,255,18,0,4,0,154,0,165,11,160,12,0,0
15.94,hid,"18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,230,255,17,0,4,0,151,0,161,11,168,12,0,0
15.97,hid,"16,18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,234,255,15,0,6,0,130,0,162,11,175,12,0,0
15.985,hid,"18,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,245,255,13,0,6,0,129,0,147,11,199,12,0,0
16.017,hid,"18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,10,0,3,0,0,0,158,0,154,11,177,12,0,0
16.033,hid,"18,22,23,24,26",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,19,0,3,0,252,255,156,0,142,11,177,12,0,0
16.049,hid,"18,20,21,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,8,0,250,255,251,255,142,0,168,11,166,12,0,0
16.081,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,21,0,246,255,244,255,124,0,187,11,177,12,0,0
16.112,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,86,193,7,0,249,255,249,255,118,0,182,11,142,12,0,0
16.128,hid,"16,18,19,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,249,255,249,255,249,255,120,0,210,11,128,12,0,0
16.159,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,242,255,253,255,254,255,111,0,162,11,175,12,0,0
16.175,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,253,255,255,255,255,255,142,0,166,11,187,12,0,0
16.19,hid,"18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,4,0,254,255,253,255,143,0,169,11,171,12,0,0
16.206,hid,"18,20,21,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,9,0,0,0,1,0,132,0,171,11,167,12,0,0
16.237,hid,"18,19,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,255,255,6,0,3,0,103,0,192,11,146,12,0,0
16.252,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,252,255,9,0,1,0,117,0,188,11,142,12,0,0
16.269,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,232,255,12,0,3,0,125,0,205,11,136,12,0,0
16.3,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,218,255,15,0,8,0,124,0,177,11,160,12,0,0
16.301,hid,"20,22,24,26",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,218,255,14,0,9,0,121,0,169,11,160,12,0,0
16.331,hid,"20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,218,255,15,0,12,0,136,0,147,11,185,12,0,0
16.347,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,232,255,16,0,6,0,145,0,131,11,210,12,0,0
16.378,hid,"18,19,20,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,15,0,4,0,254,255,132,0,126,11,218,12,0,0
16.394,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,27,0,2,0,253,255,145,0,136,11,198,12,0,0
16.41,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,43,0,5,0,250,255,160,0,135,11,183,12,0,0
16.426,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,31,0,1,0,252,255,147,0,173,11,153,12,0,0
16.457,hid,"18,20,21,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,21,0,251,255,246,255,114,0,169,11,162,12,0,0
16.473,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,17,0,249,255,244,255,115,0,172,11,159,12,0,0
16.489,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,14,0,246,255,240,255,124,0,163,11,181,12,0,0
16.52,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,13,0,248,255,239,255,133,0,179,11,167,12,0,0
16.521,hid,"18,24,26",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,15,0,248,255,239,255,138,0,177,11,167,12,0,0
16.552,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,13,0,251,255,250,255,129,0,190,11,148,12,0,0
16.567,hid,"18,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,9,0,251,255,253,255,132,0,191,11,155,12,0,0
16.599,hid,"18,19,20,21,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,255,255,2,0,5,0,129,0,196,11,146,12,0,0
16.614,hid,"18,19,20,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,0,0,9,0,5,0,118,0,184,11,167,12,0,0
16.63,hid,"18,19,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,255,255,9,0,8,0,104,0,201,11,163,12,0,0
16.645,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,251,255,14,0,11,0,110,0,213,11,136,12,0,0
16.676,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,226,255,15,0,14,0,122,0,218,11,135,12,0,0
16.691,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,212,255,16,0,15,0,134,0,200,11,136,12,0,0
16.707,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,210,255,20,0,17,0,133,0,182,11,154,12,0,0
16.739,hid,"18,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,211,255,20,0,19,0,139,0,146,11,196,12,0,0
16.755,hid,"18,20,22,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,228,255,21,0,16,0,139,0,125,11,212,12,0,0
16.771,hid,"18,20,22,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,252,255,16,0,10,0,139,0,108,11,233,12,0,0
16.786,hid,"18,19,20,22,24,26",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,16,0,12,0,1,0,145,0,107,11,233,12,0,0
16.817,hid,"18,20,21,22,23,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,42,0,255,255,247,255,147,0,154,11,197,12,0,0
16.833,hid,"18,20,22,24,26,28",4,90,165,239,4,0,0,0,212,255,12,0,0,48,0,0,88,193,35,0,250,255,248,255,162,0,175,11,159,12,0,0
16.848,hid,"4,8,9,10,18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,25,0,251,255,244,255,146,0,162,11,155,12,0,0
16.879,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,15,0,245,255,240,255,113,0,155,11,190,12,0,0
16.894,hid,"18,20,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,16,0,244,255,240,255,91,0,178,11,170,12,0,0
16.91,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,9,0,248,255,241,255,128,0,182,11,149,12,0,0
16.926,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,5,0,255,255,246,255,134,0,177,11,154,12,0,0
16.957,hid,"18,20,21,22,23,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,15,0,3,0,0,0,120,0,178,11,163,12,0,0
16.972,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,16,0,4,0,1,0,124,0,187,11,158,12,0,0
16.988,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,11,0,6,0,0,0,132,0,188,11,144,12,0,0
17.02,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,0,0,10,0,3,0,104,0,182,11,141,12,0,0
17.02,hid,"18,19,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,253,255,9,0,4,0,101,0,180,11,143,12,0,0
17.05,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,236,255,11,0,9,0,119,0,197,11,148,12,0,0
17.066,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,231,255,9,0,8,0,108,0,199,11,150,12,0,0
17.097,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,220,255,14,0,6,0,111,0,175,11,180,12,0,0
17.113,hid,"18,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,223,255,14,0,7,0,115,0,168,11,201,12,0,0
17.129,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,0,0,0,0,0,48,0,0,88,193,236,255,13,0,9,0,132,0,139,11,191,12,0,0
