t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
2.211,0.00579,0.00592,0.0,0.0,0.0417,0.0282,0.01554,0.01567,66,68,3.222
2.231,0.00676,0.00595,0.264,0.0,0.0282,0.0386,0.01517,0.01431,172,61,3.274
2.251,0.00426,0.00585,0.0,0.0,0.0553,0.0678,0.00825,0.01148,68,60,3.693
2.271,0.00317,0.00344,0.0,0.0,0.0928,0.1137,0.00798,0.00854,47,47,4.047
2.291,0.00675,0.0066,0.768,0.434,0.0667,0.0688,0.0158,0.01552,187,187,3.951
2.311,0.00395,0.00418,0.0,0.0,0.1397,0.1356,0.00941,0.00988,86,88,4.266
2.332,0.00299,0.00292,0.0,0.0,0.1376,0.1376,0.00626,0.00596,49,48,4.532
2.351,0.00362,0.0037,0.0,0.0,0.1105,0.1147,0.00973,0.00994,57,58,4.757
2.372,0.00383,0.00392,0.0,0.0,0.0834,0.0918,0.00887,0.00901,58,59,4.948
2.391,0.00379,0.00396,0.0,0.0,0.0813,0.0772,0.00738,0.0077,55,57,5.11
2.411,0.00667,0.00702,0.654,0.464,0.0375,0.0355,0.01614,0.01708,195,197,4.981
2.431,0.00563,0.00567,0.0,0.0,0.0959,0.1022,0.01354,0.01357,115,115,5.137
2.451,0.00601,0.00648,0.0,0.0,0.0855,0.0938,0.01519,0.0164,102,108,5.27
2.471,0.00356,0.00385,0.0,0.0,0.1522,0.147,0.00875,0.00938,69,73,5.382
2.491,0.00231,0.00247,0.0,0.0,0.1283,0.123,0.00591,0.00636,47,50,5.477
2.511,0.00329,0.00333,0.0,0.0,0.1293,0.1272,0.00786,0.00784,57,57,5.557
2.532,0.00419,0.00443,0.0,0.0,0.0907,0.1053,0.00907,0.00951,69,72,5.625
2.55,0.00327,0.00347,0.0,0.0,0.1064,0.0918,0.00907,0.00965,65,68,5.683
2.572,0.00408,0.0037,0.0,0.0,0.0803,0.0918,0.00985,0.00896,73,67,5.731
2.591,0.00412,0.00402,0.0,0.0,0.0417,0.048,0.00799,0.00766,68,65,5.773
2.611,0.00914,0.00952,1.0,1.0,0.0355,0.0334,0.02001,0.02075,208,205,5.596
2.632,0.00539,0.00523,0.0,0.0,0.024,0.0396,0.01357,0.01326,121,119,5.658
2.651,0.00389,0.00363,0.0,0.0,0.0636,0.0678,0.00924,0.00833,79,74,5.71
2.671,0.00252,0.00233,0.0,0.0,0.1157,0.0991,0.00499,0.00459,49,45,5.755
2.691,0.00239,0.00245,0.0,0.0,0.0886,0.1032,0.00467,0.00525,41,43,5.792
2.711,0.0021,0.00235,0.0,0.0,0.0991,0.0782,0.00494,0.00543,39,43,5.824
2.731,0.00175,0.00208,0.0,0.0,0.073,0.0699,0.00458,0.00556,36,42,5.851
2.751,0.00212,0.0022,0.0,0.0,0.0719,0.0792,0.00548,0.00559,41,43,5.874
2.772,0.00513,0.00537,0.329,0.324,0.0323,0.0563,0.0121,0.01291,181,183,5.771
2.791,0.003,0.00346,0.0,0.0,0.0699,0.0751,0.00664,0.00795,86,93,5.806
2.811,0.003,0.00281,0.0,0.0,0.0407,0.0438,0.00707,0.0067,61,60,5.836
2.832,0.00249,0.00234,0.0,0.0,0.0355,0.0469,0.00618,0.00555,50,47,5.861
2.851,0.00322,0.0032,0.0,0.0,0.0918,0.0688,0.00737,0.00723,58,57,5.882
2.871,0.00313,0.0031,0.0,0.0,0.0521,0.0542,0.00756,0.00756,59,58,5.9
2.892,0.00439,0.00453,0.0,0.0,0.0438,0.0375,0.00958,0.00988,76,78,5.916
2.911,0.0026,0.0,0.0,0.0,0.0709,0.0,0.0064,0.0,55,15,5.929
2.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,5.735
2.951,0.0,0.00246,0.0,0.0,0.0,0.0542,0.0,0.00577,2,43,5.776
2.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,5.589
2.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,5.409
3.011,0.00354,0.00366,0.0,0.0,0.0428,0.0386,0.00808,0.00841,57,59,5.5
3.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,5.323
3.051,0.00367,0.00348,0.0,0.0,0.025,0.0292,0.00935,0.00892,63,60,5.427
3.071,0.0038,0.00388,0.0,0.0,0.0302,0.0344,0.00899,0.00917,65,66,5.515
3.092,0.00273,0.00261,0.0,0.0,0.0501,0.0396,0.00743,0.00716,54,53,5.589
3.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,5.41
3.131,0.0026,0.00257,0.0,0.0,0.049,0.0459,0.0061,0.00614,44,44,5.5
3.153,0.0031,0.00316,0.0,0.0,0.0584,0.0511,0.007,0.00705,53,53,5.577
3.171,0.005,0.00503,0.234,0.207,0.0386,0.0344,0.01193,0.01207,193,193,5.521
3.191,0.0,0.00255,0.0,0.0,0.0,0.0751,0.0,0.00551,53,77,5.594
3.212,0.0,0.00207,0.0,0.0,0.0,0.0907,0.0,0.00581,8,48,5.656
3.231,0.00255,0.00243,0.0,0.0,0.0647,0.0667,0.00534,0.00496,42,42,5.709
3.251,0.00208,0.00229,0.0,0.0,0.0553,0.0469,0.00602,0.00661,43,47,5.754
3.272,0.00252,0.00257,0.0,0.0,0.074,0.0532,0.00678,0.00702,49,51,5.792
3.291,0.00289,0.00301,0.0,0.0,0.0657,0.0469,0.00635,0.00671,51,53,5.824
3.312,0.00136,0.00136,0.0,0.0,0.0761,0.0657,0.00402,0.00412,33,34,5.851
3.331,0.00235,0.00207,0.0,0.0,0.0501,0.0417,0.00611,0.00524,46,40,5.874
3.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,5.683
3.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,5.499
3.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.323
3.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.153
3.431,0.00217,0.00176,0.0,0.0,0.073,0.0751,0.00544,0.00484,36,31,5.283
3.452,0.00271,0.00259,0.0,0.0,0.0396,0.0459,0.00708,0.00677,48,46,5.393
3.472,0.00241,0.0,0.0,0.0,0.0782,0.0,0.00575,0.0,43,9,5.486
3.491,0.00233,0.00233,0.0,0.0,0.0323,0.0323,0.00555,0.00587,42,41,5.565
3.511,0.00272,0.00264,0.0,0.0,0.048,0.049,0.00671,0.00667,49,48,5.632
3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,5.45
3.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,5.276
3.571,0.00179,0.00187,0.0,0.0,0.0292,0.0417,0.00528,0.00542,34,35,5.387
