t,rms
29.269,0.003519
29.3,0.003279
29.3,0.003158
29.331,0.003152
29.346,0.002709
29.378,0.002903
29.393,0.002638
29.409,0.003512
29.441,0.002737
29.441,0.002794
29.473,0.002517
29.489,0.002645
29.519,0.002377
29.535,0.002641
29.549,0.00219
29.565,0.00237
29.596,0.00313
29.611,0.002332
29.627,0.001793
29.659,0.002226
29.674,0.002764
29.689,0.002278
29.72,0.002392
29.721,0.002174
29.751,0.002139
29.767,0.002071
29.798,0.002323
29.814,0.001804
29.83,0.002144
29.845,0.001938
29.876,0.002101
29.891,0.001647
29.908,0.001909
29.939,0.002203
29.94,0.002801
29.971,0.002243
29.987,0.001835
30.018,0.001668
30.033,0.001486
30.049,0.001766
30.08,0.001591
30.08,0.002247
30.112,0.002214
30.127,0.001393
30.159,0.00162
30.174,0.001798
30.189,0.002003
30.205,0.002222
30.236,0.001848
30.252,0.001981
30.267,0.001975
30.299,0.002124
30.314,0.001942
30.33,0.00223
30.346,0.002621
30.377,0.002616
30.393,0.002448
30.409,0.002672
30.44,0.002364
30.44,0.003088
30.47,0.001856
30.486,0.002147
30.519,0.00256
30.534,0.002222
30.55,0.00215
30.565,0.002231
30.597,0.002406
30.612,0.002125
30.628,0.002353
30.659,0.002278
30.674,0.002791
30.69,0.002488
30.706,0.002349
30.738,0.002742
30.754,0.00278
30.769,0.002564
30.8,0.002425
30.8,0.002445
30.832,0.002568
30.848,0.002893
30.878,0.003503
30.894,0.002968
30.909,0.003081
30.94,0.002968
30.94,0.003171
30.97,0.003551
30.986,0.003089
31.017,0.002884
31.032,0.002745
31.049,0.002625
