t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
2.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
